Column,Row,Value,Rule
Country*,7,,expect_column_values_to_not_be_null
Country*,8,,expect_column_values_to_not_be_null
Country*,9,,expect_column_values_to_not_be_null
Country*,10,,expect_column_values_to_not_be_null
Country*,11,,expect_column_values_to_not_be_null
Country*,12,,expect_column_values_to_not_be_null
Country*,13,,expect_column_values_to_not_be_null
Country*,14,,expect_column_values_to_not_be_null
Country*,15,,expect_column_values_to_not_be_null
Country*,16,,expect_column_values_to_not_be_null
Country*,17,,expect_column_values_to_not_be_null
Country*,18,,expect_column_values_to_not_be_null
Country*,19,,expect_column_values_to_not_be_null
Currency*,7,,expect_column_values_to_not_be_null
Currency*,8,,expect_column_values_to_not_be_null
Currency*,9,,expect_column_values_to_not_be_null
Currency*,10,,expect_column_values_to_not_be_null
Currency*,11,,expect_column_values_to_not_be_null
Currency*,12,,expect_column_values_to_not_be_null
Currency*,13,,expect_column_values_to_not_be_null
Currency*,14,,expect_column_values_to_not_be_null
Currency*,15,,expect_column_values_to_not_be_null
Currency*,16,,expect_column_values_to_not_be_null
Currency*,17,,expect_column_values_to_not_be_null
Currency*,18,,expect_column_values_to_not_be_null
Currency*,19,,expect_column_values_to_not_be_null
Row ID*,7,,expect_column_values_to_not_be_null
Row ID*,8,,expect_column_values_to_not_be_null
Row ID*,9,,expect_column_values_to_not_be_null
Row ID*,10,,expect_column_values_to_not_be_null
Row ID*,11,,expect_column_values_to_not_be_null
Row ID*,12,,expect_column_values_to_not_be_null
Row ID*,13,,expect_column_values_to_not_be_null
Row ID*,14,,expect_column_values_to_not_be_null
Row ID*,15,,expect_column_values_to_not_be_null
Row ID*,16,,expect_column_values_to_not_be_null
Row ID*,17,,expect_column_values_to_not_be_null
Row ID*,18,,expect_column_values_to_not_be_null
Row ID*,19,,expect_column_values_to_not_be_null
Payment Election Rule*,7,,expect_column_values_to_not_be_null
Payment Election Rule*,8,,expect_column_values_to_not_be_null
Payment Election Rule*,9,,expect_column_values_to_not_be_null
Payment Election Rule*,10,,expect_column_values_to_not_be_null
Payment Election Rule*,11,,expect_column_values_to_not_be_null
Payment Election Rule*,12,,expect_column_values_to_not_be_null
Payment Election Rule*,13,,expect_column_values_to_not_be_null
Payment Election Rule*,14,,expect_column_values_to_not_be_null
Payment Election Rule*,15,,expect_column_values_to_not_be_null
