Column,Row,Value,Rule
Employee ID,26,,expect_column_values_to_not_be_null
Employee ID,31,,expect_column_values_to_not_be_null
Hire Date,9,,expect_column_values_to_not_be_null
Hire Date,20,02/22/1998,expect_column_values_to_match_regex
Employee Type,7,Regular,expect_column_values_to_be_in_set
Employee Type,8,Regular,expect_column_values_to_be_in_set
Employee Type,9,Regular,expect_column_values_to_be_in_set
Employee Type,10,Regular,expect_column_values_to_be_in_set
Employee Type,11,Regular,expect_column_values_to_be_in_set
Employee Type,12,Regular,expect_column_values_to_be_in_set
Employee Type,13,Regular,expect_column_values_to_be_in_set
Employee Type,14,Regular,expect_column_values_to_be_in_set
Employee Type,15,Regular,expect_column_values_to_be_in_set
Employee Type,16,Regular,expect_column_values_to_be_in_set
Employee Type,17,Regular,expect_column_values_to_be_in_set
Employee Type,18,Regular,expect_column_values_to_be_in_set
Employee Type,19,Regular,expect_column_values_to_be_in_set
Employee Type,20,Regular,expect_column_values_to_be_in_set
Employee Type,21,Regular,expect_column_values_to_be_in_set
Employee Type,22,Regular,expect_column_values_to_be_in_set
Employee Type,23,Regular,expect_column_values_to_be_in_set
Employee Type,24,Regular,expect_column_values_to_be_in_set
Employee Type,25,Regular,expect_column_values_to_be_in_set
Employee Type,26,Regular,expect_column_values_to_be_in_set
Employee Type,27,Regular,expect_column_values_to_be_in_set
Employee Type,28,Regular,expect_column_values_to_be_in_set
Employee Type,29,Regular,expect_column_values_to_be_in_set
Employee Type,30,Regular,expect_column_values_to_be_in_set
Employee Type,31,Regular,expect_column_values_to_be_in_set
Employee Type,32,Regular,expect_column_values_to_be_in_set
Employee Type,33,Regular,expect_column_values_to_be_in_set
Employee Type,34,Regular,expect_column_values_to_be_in_set
Employee Type,35,Regular,expect_column_values_to_be_in_set
Employee Type,36,Regular,expect_column_values_to_be_in_set
Employee Type,37,Regular,expect_column_values_to_be_in_set
Employee Type,38,Regular,expect_column_values_to_be_in_set
Employee Type,39,Regular,expect_column_values_to_be_in_set
Employee Type,40,Regular,expect_column_values_to_be_in_set
Employee Type,41,Regular,expect_column_values_to_be_in_set
Employee Type,42,Regular,expect_column_values_to_be_in_set
Employee Type,43,Regular,expect_column_values_to_be_in_set
Employee Type,44,Regular,expect_column_values_to_be_in_set
Employee Type,45,Regular,expect_column_values_to_be_in_set
Employee Type,46,Regular,expect_column_values_to_be_in_set
