Column,Row,Value,Rule
Pay Through Date,7,,expect_column_values_to_not_be_null
Pay Through Date,8,,expect_column_values_to_not_be_null
Pay Through Date,9,,expect_column_values_to_not_be_null
Pay Through Date,11,,expect_column_values_to_not_be_null
Pay Through Date,12,,expect_column_values_to_not_be_null
Pay Through Date,13,,expect_column_values_to_not_be_null
Pay Through Date,14,,expect_column_values_to_not_be_null
Pay Through Date,15,,expect_column_values_to_not_be_null
Pay Through Date,16,,expect_column_values_to_not_be_null
Pay Through Date,17,,expect_column_values_to_not_be_null
Pay Through Date,18,,expect_column_values_to_not_be_null
Pay Through Date,19,,expect_column_values_to_not_be_null
